"","#","Name","GP","GS","MIN","MPG"
"402",14,"Aldas Kavaliauskas",2,0,55,27.5
"403",25,"Tyrell Gumbs-Frater",2,0,37,18.5
"404",45,"Marko Cuze",2,0,49,24.5
"405",20,"Nick Korniek",2,0,14,7
"406",31,"Matthias Kelly",2,0,38,19
"407",32,"Babacar Cisse",2,0,8,4
"408",34,"Yalim Olcay",2,0,37,18.5
"409",2,"Marcell Haskett",1,0,3,3
"410",22,"Biel Lianso",1,0,1,1
"411",10,"Kajon Gordon-Stephen",1,0,3,3
"412",21,"Eskor Edem",1,0,21,21
"413",NA,"Maciej Bender",1,1,23,23
"414",NA,"Harold Baruti",1,1,29,29
"415",NA,"Keshon Montague",1,1,21,21
"416",NA,"Jakub Mijakowski",1,0,12,12
"417",NA,"Jethro Tshisumpa",1,1,22,22
"418",24,"Diogo Brito",1,1,19,19
"419",1,"Symon Walczak",1,0,17,17
"420",3,"Florent Thamba",1,0,5,5
"421",5,"Bikum Biyambo",1,0,2,2
"422",23,"Nathan Mepandy",1,0,11,11
"423",1,"Roman Young",6,3,17,2.8
"424",12,"Bryan Trimble",5,3,22,4.4
"425",10,"Radshad Davis",4,3,17,4.2
"426",24,"Derrick Walker",3,3,17,5.7
"427",3,"GJ Rolle",3,0,2,0.7
"428",11,"Jonah Antonio",2,0,2,1
"429",2,"Khameron Davis",2,0,0,0
"430",22,"Isiah Jasey",1,0,13,13
"431",33,"Charles Bain",1,0,8,8
"432",21,"Kameron  McGusty",1,0,24,24
"433",42,"Matt Harms",1,0,10,10
"434",22,"Jamil Wilson",1,1,28,28
"435",14,"Brian Alvey",1,1,26,26
"436",5,"Clivonte Patterson",1,1,13,13
"437",NA,"Sidney Wilson",1,1,31,31
"438",3,"Payton Pritchard",5,4,161,32.2
"439",1,"Jaydon Grant",4,2,131,32.8
"440",22,"Brooks DeBisschop",3,3,85,28.3
"441",23,"Tate Hoffman",3,1,82,27.3
"442",13,"Will Mathiessen",3,1,93,31
"443",15,"Nathan Dombrow",1,1,0,0
"444",10,"Colin Shearmire",1,0,14,14
"445",11,"Tim Tawa",1,0,1,1
"446",24,"Jake Perkins",1,0,1,1
"447",30,"Jaylen Thompson",1,0,4,4
"448",NA,"De'Aaron Fox",1,0,0,0
"449",NA,"Trevon Duval",3,1,32,10.7
"450",NA,"Terrance Ferguson",3,0,30,10
"451",NA,"Robert Brown",2,0,5,2.5
"452",NA,"Mark Vital",2,1,28,14
"453",NA,"Billy Preston",2,1,27,13.5
"454",NA,"Nysier Brooks",2,1,22,11
"455",NA,"Terrell McGee",2,0,7,3.5
"456",NA,"Steven Jordan",1,0,0,0
"457",NA,"Elijah Elliott",1,0,4,4
"458",11,"Malik Curry",1,0,1,1
"459",20,"Jalen Henry",1,0,1,1
"460",2,"Jarred Vanderbilt",1,0,0,0
"461",15,"Frank Jackson",1,0,0,0
"462",NA,"Gabriel Osabuohien",1,0,0,0
"463",NA,"Shakur Daniel",1,0,0,0
"464",NA,"Rasir Bolton",1,0,0,0
"465",NA,"VJ King",3,1,29,9.7
"466",NA,"Brandon Slater",3,1,27,9
"467",NA,"Anthony Harris",3,0,15,5
"468",NA,"Corey Manigault",2,1,28,14
"469",NA,"Myles Douglas",2,1,22,11
"470",NA,"Vincent Lee",1,0,8,8
"471",NA,"Aaron Thompson",1,1,27,27
"472",0,"Chris Lykes",1,0,0,0
"473",NA,"Sam Hauser",1,1,0,0
"474",NA,"Joey Hauser",1,1,0,0
"475",NA,"Trevor Anderson",1,1,0,0
"476",NA,"Sam Cunliffe",2,1,29,14.5
"477",NA,"Keith Smith",1,1,28,28
"478",NA,"Kendall Williams",1,1,1,1
"479",NA,"Kevin Porter Jr.",1,1,31,31
"480",NA,"Khalil Shabazz",1,1,23,23
"481",NA,"Marquis Gurski",1,0,19,19
"482",NA,"Nkeil Nelson",1,1,16,16
"483",NA,"Travis Washington",1,0,9,9
"484",NA,"Tijon Rodde",1,0,5,5
"485",5,"Malik Monk",1,0,0,0
"486",2,"Lonzo Ball",4,4,100,25
"487",1,"LaMelo Ball",3,3,84,28
"488",0,"Elizjah Scott",3,3,87,29
"489",3,"LiAngelo Ball",3,3,100,33.3
"490",21,"Onyeka Okongwu",3,3,89,29.7
"491",5,"Andre Ball",1,0,12,12
"492",20,"Cameron Shelton",1,0,12,12
"493",20,"De'ron Davis",2,0,0,0
"494",NA,"Jervae Robinson",1,0,0,0
"495",NA,"Tyler Polley",2,0,0,0
"496",NA,"Luis Hurtado",1,0,0,0
"497",NA,"Koch Bar",2,2,48,24
"498",NA,"Alonzo Verge Jr.",2,0,23,11.5
"499",NA,"Luguentz Dort",2,2,42,21
"500",NA,"Damir Hedzic",2,2,29,14.5
"501",NA,"Ty Gadsden",2,2,39,19.5
"502",NA,"Alston Davis",2,2,31,15.5
"503",NA,"Danya Kingsby",2,0,30,15
"504",NA,"Justin Route",2,0,25,12.5
"505",NA,"Essam Tame Mostafa",2,0,5,2.5
"506",NA,"Donovan Dean",1,0,1,1
"507",NA,"Jared Dougherty",1,0,6,6
"508",NA,"Fotis Malelis",1,0,5,5
"509",NA,"Diondre Williams",1,0,6,6
"510",NA,"Vincent Vent",1,0,9,9
"511",NA,"Sehill Mouliom",1,0,15,15
"512",35,"Udoka Azubuike",1,0,27,27
"513",1,"DJ Russell",1,0,21,21
"514",3,"Mike McDougal",1,0,19,19
"515",23,"Ricquail Smoot",1,0,18,18
"516",NA,"Darius Days",1,0,0,0
"517",NA,"Chaundee Brown",3,2,76,25.3
"518",22,"Malik William",3,2,81,27
"519",1,"Cole DenBesten",2,2,54,27
"520",4,"Greg Summers",2,2,46,23
"521",13,"Elijah Jordan",2,2,63,31.5
"522",2,"Rahsaan Lewis",1,0,1,1
"523",5,"Daniel West",1,0,1,1
"524",11,"Isaiah Richardson",1,0,5,5
"525",12,"Jonah Baker",1,0,7,7
"526",32,"Tre Johnson",1,0,11,11
"527",NA,"Tony Bradley",5,5,143,28.6
"528",NA,"Justin Serrano",3,3,72,24
"529",NA,"TJ Harvin",2,2,58,29
"530",NA,"Timothy Jordan",2,2,57,28.5
"531",NA,"William Craig",2,1,36,18
"532",NA,"Christopher Butler",1,1,4,4
"533",NA,"Kamel Smith",1,0,20,20
"534",NA,"Travion Hodge",1,0,13,13
"535",NA,"Jalon Borders",1,0,1,1
"536",3,"Alterique Gilbert",1,0,0,0
"537",NA,"Nick Rakocevic",1,1,32,32
"538",NA,"Joffari Brown",1,1,31,31
"539",NA,"Marquise Walker",1,1,26,26
"540",4,"Devearl Ramsey",2,2,29,14.5
"541",10,"Hunter Bleeden",2,0,4,2
"542",13,"Michael Feinberg",2,0,19,9.5
"543",5,"Adam Seiko",1,1,21,21
"544",2,"Cody Riley",1,1,26,26
"545",33,"Joe Wallace",1,0,14,14
"546",11,"Kohl Hollinquest",1,0,1,1
"547",1,"Remy Martin",1,1,25,25
"548",3,"Terrance McBride",1,1,20,20
"549",21,"William Washington",1,0,2,2
"550",NA,"Bourama Sidibe",1,1,24,24
"551",NA,"Arnaldo Toro",1,1,31,31
"552",NA,"James Scott",1,1,29,29
"553",NA,"David Beatty",1,1,31,31
"554",NA,"Jayden Saddler",1,1,25,25
"555",NA,"Warren Williams",1,0,9,9
"556",NA,"Damon Wall",1,0,11,11
"557",NA,"Kobi Simmons",2,2,45,22.5
"558",3,"Anthony Showell",2,2,51,25.5
"559",NA,"Chance Anderson",1,1,21,21
"560",NA,"Darius Perry",3,2,80,26.7
"561",NA,"Cam Jordan",3,2,76,25.3
"562",NA,"Makhai Eastmond",3,2,76,25.3
"563",NA,"Romello White",3,2,82,27.3
"564",NA,"Al-Wajid Aminu",3,2,73,24.3
"565",NA,"Kenny Aninye",2,0,48,24
"566",NA,"Rodolzo Lewis",2,0,8,4
"567",NA,"Khalil Hawkins",1,0,1,1
"568",NA,"Reikan Donaldson",1,0,6,6
"569",NA,"Sam Jackson",1,0,2,2
"570",NA,"Rasheed Browne",3,1,31,10.3
"571",NA,"Dhamir Cosy-Roundtree",2,1,15,7.5
"572",NA,"Zane Martin",2,1,26,13
"573",NA,"Emil Moody",1,0,14,14
"574",NA,"Vaughn Covington",1,1,28,28
"575",NA,"Quade Green",1,1,31,31
"576",NA,"Noah Warren",1,0,1,1
"577",11,"Josh Jackson",1,0,0,0
"578",2,"Pierre Crockrell II",1,0,0,0
"579",12,"LJ Figueroa",4,3,50,12.5
"580",1,"Troy Baxter",3,2,63,21
"581",2,"Eric Hester",2,2,58,29
"582",5,"Elijah Weaver",2,2,49,24.5
"583",20,"Jerome Merritt",2,1,32,16
"584",13,"Dontay Bassett",2,1,43,21.5
"585",10,"Carlos Acevedo",2,0,14,7
"586",NA,"Antwann Jones",2,0,29,14.5
"587",24,"Jhakheem Smith",1,0,2,2
"588",0,"Markus Howard",2,1,21,10.5
"589",3,"Carlos Johnson",1,1,18,18
"590",11,"O'Shae Brissett",1,0,20,20
"591",4,"Skylar Mays",1,1,20,20
"592",12,"Tristan Clark",1,1,23,23
"593",5,"PJ Washington",1,1,21,21
"594",15,"Spencer Washington",1,0,10,10
"595",2,"Shakwon Barrett",1,0,15,15
"596",1,"De'Von  Cooper",1,0,13,13
"597",24,"Lamine Diane",1,0,11,11
"598",35,"Tadas Kararinas",1,0,10,10
"599",1,"Jashaun Agosto",4,3,68,17
"600",10,"Alphonso Anderson",3,2,61,20.3
"601",33,"J'Raan Brooks",3,1,53,17.7
"602",3,"Terrell Brown",3,3,75,25
"603",5,"Jaylen Nowell",3,3,64,21.3
"604",35,"PJ Fuller",3,0,31,10.3
"605",11,"O'Landa Baker",3,1,24,8
"606",NA,"Jelani Howard",2,0,3,1.5
"607",2,"Daejon Davis",2,2,48,24
"608",24,"Jamon Kemp",2,0,7,3.5
"609",4,"DJ White",1,0,2,2
"610",34,"Dawit Nuguse",1,0,1,1
"611",NA,"JP Moorman",4,2,56,14
"612",NA,"John Newman",4,2,77,19.2
"613",NA,"Will Dillard",4,2,50,12.5
"614",NA,"Travon Mayo",4,3,69,17.2
"615",NA,"Jordan Perkins",3,2,53,17.7
"616",NA,"Alex Michael",3,0,24,8
"617",NA,"Solomon Smith",3,1,32,10.7
"618",NA,"Pearce Landry",2,0,7,3.5
"619",NA,"Will Hemphill",2,0,1,0.5
"620",NA,"Jerome Thompson",2,0,4,2
"621",NA,"Tristan Perry",2,0,4,2
"622",NA,"Adam Calhoun",1,0,1,1
"623",NA,"Matthew Hudson",1,0,0,0
"624",NA,"Spencer Freedman",1,1,32,32
"625",NA,"Justice Sueing",1,1,24,24
"626",NA,"Jakolby Long",3,2,64,21.3
"627",NA,"Curtis Haywood",2,2,54,27
"628",NA,"York Benjamin",2,2,43,21.5
"629",NA,"Kejuan Frazier",1,1,23,23
"630",NA,"__ Roberts",1,1,12,12
"631",1,"Andre' Toure",1,0,5,5
"632",13,"Deshawn Corprew",1,1,28,28
"633",32,"Malik Brevard",1,1,21,21
"634",22,"Papa N'Diaye",1,0,17,17
"635",11,"Renathan Ona Embo",1,1,18,18
"636",24,"Keith Stagg",1,1,25,25
"637",33,"Marsellis Purvis",1,1,17,17
"638",23,"Tremaine Lawrence",1,0,4,4
"639",10,"Sina Gbaedao",1,0,11,11
"640",12,"Jaylan McGill",1,0,14,14
"641",11,"Lamar Stevens",5,3,87,17.4
"642",10,"Tony Carr",4,3,92,23
"643",4,"Nazeer Bostick",4,3,87,21.8
"644",5,"D'Andre Vilmar",3,2,45,15
"645",35,"Paul Newman",2,2,35,17.5
"646",24,"Dakquan Davis",2,0,28,14
"647",20,"Mikael Jones",2,0,13,6.5
"648",3,"JP Sanders",1,0,15,15
"649",12,"Seth Lundy",1,0,1,1
"650",15,"Anthony Dawson",1,0,1,1
"651",NA,"Matt Bullock",1,0,0,0
"652",NA,"Andre Rafus",1,0,0,0
"653",NA,"Gary Trent Jr.",4,1,0,0
"654",NA,"Tre Jones",4,1,0,0
"655",NA,"Brock Bertram",3,0,0,0
"656",NA,"Jordan Bolton",2,0,0,0
"657",NA,"Cameron Kirksey",2,0,0,0
"658",NA,"__ Ertz",2,0,0,0
"659",NA,"__ Reddick",2,0,0,0
"660",NA,"__ Martens",2,0,0,0
"661",NA,"__ Hendrickson",2,0,0,0
"662",NA,"__ Thomas",1,0,0,0
"663",NA,"__ Morse",1,0,0,0
"664",12,"Zach Collins",2,1,28,14
"665",NA,"Christian PoPoola",1,1,31,31
"666",NA,"Jamal Bey",1,1,13,13
"667",30,"Travis Rice",1,1,15,15
"668",22,"Byron Frohnen",1,0,26,26
"669",13,"Ryan Kiley",1,0,7,7
"670",0,"Jarrett Jordan",1,0,1,1
"671",NA,"Saxton Howard",1,0,6,6
"672",22,"Jayson Tatum",8,3,121,15.1
"673",1,"Reggie Crawford",5,2,68,13.6
"674",12,"Isaac Olson",5,0,38,7.6
"675",NA,"Jericole Hellems",4,3,48,12
"676",2,"Michael Lewis II",4,4,84,21
"677",11,"Will Gladson",4,4,72,18
"678",21,"Tyler Cook",4,3,82,20.5
"679",NA,"Jadis White",4,0,27,6.8
"680",10,"Karrington Davis",3,0,15,5
"681",33,"Marin Vrucinic",3,0,33,11
"682",NA,"Taylor Jeffries",3,0,17,5.7
"683",42,"David Hermeling",1,0,2,2
"684",14,"Roderick Campbell",1,0,2,2
"685",10,"Jose Alvarado",1,0,30,30
"686",11,"Jared Rivers",1,0,25,25
"687",20,"Markelle Fultz",6,3,81,13.5
"688",3,"Nate Darling",6,3,46,7.7
"689",5,"DJ Harvey",6,3,75,12.5
"690",25,"Josh Carlton",5,3,35,7
"691",2,"Kellon Taylor",5,0,49,9.8
"692",0,"Ryan Allen",5,3,62,12.4
"693",1,"Reggie Gardner",4,0,18,4.5
"694",12,"Marvin Price",4,0,22,5.5
"695",24,"Christian Dyches",3,0,14,4.7
"696",11,"John McRae",3,0,16,5.3
"697",4,"Justin Moore",3,0,17,5.7
"698",21,"Chase Young",3,0,3,1
"699",14,"Johnny Sawyer",1,0,5,5
"700",50,"Ben Busch",1,0,3,3
"701",10,"Jhabari Humbert",1,0,3,3
"702",23,"Mylon Richardson",1,0,3,3
"703",NA,"Matthew Moyer",4,2,116,29
"704",NA,"Tremont Waters",4,2,126,31.5
"705",NA,"Andrew Gordon",4,0,46,11.5
"706",NA,"Aziz Sultan",4,2,71,17.8
"707",NA,"Ty Dalton",4,0,66,16.5
"708",NA,"Elijah Hughes",4,2,95,23.8
"709",NA,"Loren Brill",4,1,39,9.8
"710",NA,"Tyler Foster",3,1,94,31.3
"711",NA,"Myles Powell",3,0,48,16
"712",NA,"Nicholas Washington",3,0,51,17
"713",NA,"Josh Fitch",3,0,17,5.7
"714",21,"Chance O'Niel",2,0,2,1
"715",0,"Clifton  Powell Jr.",3,0,18,6
"716",1,"Jordan Bowden",2,1,40,20
"717",2,"Dennis Loef",2,0,9,4.5
"718",3,"Darius Henderson",2,0,29,14.5
"719",5,"Germain Remy",2,0,25,12.5
"720",14,"Eli Wright",2,1,43,21.5
"721",20,"Ben Moss Jr.",2,1,32,16
"722",21,"Darius Hicks",2,1,44,22
"723",22,"Justin Miller",2,0,27,13.5
"724",24,"Tristan Hunter",2,0,22,11
"725",25,"Sedee Keita",2,1,32,16
"726",NA,"DeAndre Ayton",2,0,0,0
"727",NA,"Grant Williams",4,4,121,30.2
"728",NA,"Devon Dotson",4,4,109,27.2
"729",NA,"Josh Howard",4,4,116,29
"730",NA,"Trey Wertz",4,4,109,27.2
"731",NA,"Isaac Johnson",3,3,90,30
"732",NA,"Scott Peterson",2,0,22,11
"733",NA,"Elijah Brown",2,0,3,1.5
"734",1,"Ayo Dosunmu",5,5,113,22.6
"735",2,"Charlie Moore",5,4,140,28
"736",3,"Jarrin Randall",5,4,117,23.4
"737",4,"Jamal Burton",5,5,107,21.4
"738",22,"Alonzo Chatman",5,4,95,19
"739",21,"Cam Irvin",5,0,54,10.8
"740",23,"Malik Binns",5,0,66,13.2
"741",32,"Antonio Alsip",5,1,16,3.2
"742",34,"Lenell Henry",5,0,30,6
"743",10,"Cortez Bailey",4,0,12,3
"744",11,"Jelani Hardy",3,0,13,4.3
"745",20,"Lamon Johnson",3,0,7,2.3
"746",15,"Melo Burrell",3,0,19,6.3
"747",44,"Quincy Dillard",2,0,9,4.5
"748",22,"Marques Bolden",2,2,0,0
"749",NA,"Kwe Parker",3,2,91,30.3
"750",NA,"David Caraher",3,1,74,24.7
"751",NA,"Jalen Johnson",3,2,80,26.7
"752",NA,"Brandon Childress",2,1,53,26.5
"753",NA,"Michael Buckland",2,2,54,27
"754",NA,"Brendan Austin",2,1,22,11
"755",NA,"Drew Greene",2,0,3,1.5
"756",NA,"Nate Blakeney",2,0,12,6
"757",NA,"Ian Steere",2,1,12,6
"758",NA,"Miles Bridges",5,2,69,13.8
"759",NA,"Curtis Jones",4,2,69,17.2
"760",NA,"Luka Petrovic",2,0,34,17
"761",NA,"Ivan Gandia",2,1,46,23
"762",NA,"Micah Thomas",2,1,21,10.5
"763",NA,"Jonathan Kobongo",2,0,46,23
"764",NA,"Trace Young",2,0,31,15.5
"765",NA,"Onuralp Bitim",2,2,34,17
"766",NA,"Boko Mupungu",2,1,10,5
"767",20,"Brian Bowen",4,2,57,14.2
"768",1,"Brandon Cyrus",3,2,53,17.7
"769",0,"James Banks",2,2,55,27.5
"770",5,"Tyger Campbell",2,2,46,23
"771",2,"Isaiah Coleman-Lands",2,0,51,25.5
"772",12,"Alvegon Eichelberger",2,2,39,19.5
"773",23,"Jeremiah Tilmon",2,0,28,14
"774",3,"Grant Beucler",2,0,11,5.5
"775",5,"RJ Barrett",9,6,153,17
"776",33,"Micah Potter",7,4,95,13.6
"777",2,"Davonta Jordan",6,2,91,15.2
"778",31,"Simisola Shittu",6,1,88,14.7
"779",21,"Bruno Fernando",6,2,79,13.2
"780",22,"Silvio De Sousa",6,1,60,10
"781",23,"EJ Montgomery",6,3,76,12.7
"782",15,"Anfernee Simons",6,4,85,14.2
"783",10,"Howard Washington",5,5,107,21.4
"784",4,"Kevin Cham",5,0,55,11
"785",32,"Sean Mobley",4,0,35,8.8
"786",24,"Amani Harris",3,0,7,2.3
"787",30,"Felix Lemetti",3,0,13,4.3
"788",12,"Justin Kaye",2,0,6,3
"789",44,"Cameron Healy",2,0,6,3
"790",2,"Matt Coleman",24,10,536,22.3
"791",5,"Lindell Wigginton",24,6,446,18.6
"792",3,"Braxton Key",23,10,450,19.6
"793",21,"Ty-Shon Alexander",23,4,403,17.5
"794",20,"Devontae Shuler",22,1,264,12
"795",33,"Kenneth  Nwuba",20,0,167,8.3
"796",31,"Khadim Sy",20,5,286,14.3
"797",42,"Rodney Miller",20,1,198,9.9
"798",4,"Mario Kegler",19,9,306,16.1
"799",23,"Montez Mathis",13,0,123,9.5
